t (s),V (mV)
0,14.7481
0.998,14.7376
1.998,14.7312
2.998,14.7238
3.998,14.7152
4.998,14.7054
5.999,14.6981
6.999,14.6887
7.998,14.6799
8.999,14.6714
9.998,14.6601
10.998,14.6515
11.998,14.6425
12.999,14.6335
13.998,14.6244
14.998,14.6155
15.999,14.6057
16.998,14.5966
17.998,14.5884
18.998,14.5799
19.998,14.5699
20.998,14.5607
21.999,14.5516
22.999,14.5416
23.998,14.5332
24.998,14.5242
25.998,14.5154
26.999,14.5048
27.999,14.4949
28.998,14.4866
29.998,14.477
30.998,14.4669
31.998,14.4586
32.998,14.4481
33.998,14.4391
34.999,14.431
35.998,14.4218
36.998,14.4121
37.998,14.4031
38.998,14.3936
39.998,14.3841
40.998,14.374
41.999,14.3641
42.999,14.355
43.999,14.3444
44.999,14.3359
45.999,14.3259
46.998,14.3168
47.998,14.3075
48.998,14.3006
49.998,14.2878
50.999,14.2949
51.999,14.2636
52.998,14.2567
53.998,14.2471
54.999,14.2384
55.998,14.2405
56.998,14.22
57.998,14.2117
58.999,14.2024
59.998,14.1946
60.999,14.1847
61.999,14.1761
62.998,14.1673
63.999,14.1582
64.998,14.1504
65.999,14.1417
66.998,14.1331
67.998,14.1242
68.998,14.1154
69.998,14.1072
70.998,14.0977
71.998,14.0887
72.998,14.0799
73.999,14.0706
74.998,14.0631
75.998,14.056
76.999,14.046
77.999,14.0353
78.998,14.0305
79.998,14.0215
80.998,14.0133
81.998,14.0051
82.998,13.9955
83.999,13.9865
84.998,13.9777
85.998,13.9695
86.998,13.9609
87.998,13.9513
88.998,13.9424
89.999,13.9334
90.998,13.9249
91.998,13.9166
92.998,13.907
93.998,13.8988
94.999,13.8897
95.998,13.8812
96.998,13.8721
97.998,13.8632
98.998,13.8544
99.998,13.8461
100.998,13.8371
101.999,13.8284
102.998,13.8204
103.998,13.8123
104.998,13.8023
105.998,13.7949
106.999,13.7842
107.998,13.7772
108.998,13.7692
109.998,13.7608
110.998,13.753
111.998,13.7442
112.999,13.7365
113.998,13.7281
114.998,13.72
115.998,13.7115
116.999,13.7028
117.999,13.6948
118.999,13.6861
119.998,13.6806
120.998,13.6708
121.998,13.6629
122.999,13.6537
123.998,13.6457
124.998,13.6386
125.998,13.63
126.998,13.6211
127.998,13.6145
128.998,13.6053
129.999,13.5968
130.998,13.5901
131.998,13.5808
132.998,13.572
133.999,13.5629
134.999,13.5556
135.998,13.5479
136.998,13.5393
137.999,13.5296
138.999,13.523
139.998,13.5142
140.998,13.5058
141.998,13.498
142.998,13.4894
143.998,13.4819
144.999,13.4736
145.998,13.4651
146.999,13.4578
147.998,13.4496
148.998,13.4415
149.999,13.4338
150.998,13.425
151.998,13.4168
152.999,13.409
153.998,13.4013
154.999,13.3932
155.998,13.386
156.998,13.3778
157.998,13.3692
158.998,13.3622
159.999,13.3545
160.998,13.3474
161.999,13.3388
162.998,13.3311
163.999,13.3237
164.998,13.3156
165.998,13.308
166.998,13.3012
167.998,13.2927
168.998,13.2855
169.998,13.2781
170.998,13.2697
171.999,13.2625
172.998,13.2548
173.998,13.248
174.998,13.2409
175.999,13.2324
176.998,13.2258
177.998,13.2177
178.999,13.2098
179.999,13.2025
180.999,13.1952
181.998,13.187
182.998,13.179
183.998,13.1705
184.999,13.1634
185.999,13.1554
186.998,13.1477
187.998,13.1391
188.999,13.1323
189.999,13.1241
190.998,13.1161
191.998,13.1087
192.999,13.1015
193.998,13.0947
194.998,13.0871
195.999,13.08
196.998,13.0729
197.998,13.064
198.998,13.0574
199.999,13.0498
200.998,13.0414
201.999,13.0335
202.998,13.0264
203.999,13.0197
204.998,13.0116
205.998,13.0041
206.999,12.9971
207.998,12.9901
208.998,12.9828
209.999,12.9764
210.998,12.9665
211.999,12.9603
212.998,12.9527
213.998,12.9455
214.998,12.939
