t (s),V (mV)
0,9.1586
1,9.1443
2,9.1274
3,9.1114
4,9.0938
5,9.0769
6,9.0594
6.999,9.0434
8,9.0248
8.999,9.0074
10,8.9905
10.999,8.9726
12,8.9548
12.999,8.938
13.999,8.9214
15,8.903
16,8.887
17,8.8695
18,8.8513
19,8.8341
20,8.8167
21,8.7988
22,8.7817
22.999,8.7643
23.999,8.7465
24.999,8.7298
26,8.7114
27,8.6943
28,8.6774
28.999,8.66
30,8.6428
31,8.6258
31.999,8.6083
33,8.5912
34,8.5742
35,8.5564
36,8.5405
37,8.5226
38,8.506
39,8.49
40,8.4736
41,8.4575
41.999,8.4402
43,8.4245
43.999,8.4074
44.999,8.3916
46,8.3751
46.999,8.3585
48,8.3424
49,8.3267
50,8.3105
51,8.2951
52,8.2796
52.999,8.263
54,8.2474
54.999,8.2313
56,8.214
56.999,8.1981
57.999,8.183
59,8.1665
59.999,8.1503
61,8.1335
62,8.1174
63,8.1018
64,8.0853
65,8.0701
65.999,8.0544
67,8.038
68,8.0227
69,8.0064
69.999,7.9906
70.999,7.9753
72,7.9597
72.999,7.9445
73.999,7.9287
74.999,7.9131
76,7.8966
76.999,7.8818
77.999,7.8656
79,7.8503
80,7.8354
80.999,7.8199
82,7.8046
82.999,7.7892
83.999,7.7738
85,7.7594
85.999,7.7447
86.999,7.7292
88,7.7147
89,7.699
90,7.6847
90.999,7.67
91.999,7.6544
93,7.6404
93.999,7.6256
95,7.6109
95.999,7.5956
97,7.5813
97.999,7.5667
99,7.553
99.999,7.5379
101,7.5233
102,7.5097
103,7.4946
104,7.4804
105,7.4657
106,7.4514
107,7.4369
107.999,7.4223
108.999,7.4084
110,7.3934
111,7.3794
112,7.3643
112.999,7.3501
113.999,7.3366
115,7.3222
115.999,7.3079
117,7.2929
117.999,7.279
119,7.2645
119.999,7.2502
120.999,7.2357
122,7.2219
123,7.208
123.999,7.1932
125,7.1801
126,7.1648
126.999,7.1514
128,7.1372
128.999,7.1233
130,7.1102
130.999,7.0957
132,7.082
133,7.0686
133.999,7.055
135,7.0418
135.999,7.028
136.999,7.0151
138,7.002
139,6.989
140,6.9756
140.999,6.9624
142,6.9491
142.999,6.9362
144,6.9219
144.999,6.9085
146,6.8971
146.999,6.8829
148,6.8701
148.999,6.8569
150,6.8437
151,6.8303
151.999,6.8174
152.999,6.8049
154,6.7921
154.999,6.7784
155.999,6.7661
157,6.753
157.999,6.7404
158.999,6.7274
159.999,6.7149
160.998,6.702
161.999,6.6892
162.999,6.677
163.999,6.6644
164.999,6.6514
165.999,6.6389
166.999,6.626
167.999,6.6129
168.999,6.6002
169.999,6.5874
170.999,6.5742
171.999,6.5615
172.999,6.5488
173.999,6.5365
174.999,6.5236
175.999,6.5107
176.999,6.4974
177.999,6.4851
178.999,6.473
179.998,6.461
180.999,6.4479
181.999,6.4352
182.999,6.4227
183.999,6.4114
184.999,6.3982
185.999,6.3845
186.999,6.3732
187.999,6.3604
188.999,6.3495
189.998,6.3352
190.999,6.3215
191.999,6.3087
192.999,6.2979
193.999,6.2885
194.999,6.2778
195.999,6.2651
196.999,6.2529
197.999,6.2414
198.999,6.2286
199.998,6.2184
200.999,6.2062
201.999,6.195
202.999,6.1823
203.999,6.1714
204.999,6.1597
205.999,6.1475
206.999,6.1364
207.999,6.1245
208.999,6.1137
209.999,6.1012
210.999,6.0902
211.999,6.0798
212.999,6.067
213.999,6.0557
214.999,6.0439
215.999,6.0337
216.999,6.0218
217.999,6.0101
218.999,5.9992
219.999,5.9878
220.999,5.9769
221.999,5.9654
222.999,5.9539
223.999,5.9427
224.999,5.9315
225.999,5.9195
226.999,5.9092
227.999,5.8971
228.999,5.8868
229.999,5.876
230.999,5.8641
231.999,5.8539
232.998,5.84
233.999,5.8308
234.999,5.8195
235.999,5.8084
236.999,5.7976
237.999,5.7864
238.999,5.7759
239.999,5.7659
240.999,5.7541
241.999,5.7431
242.999,5.732
243.999,5.7211
244.999,5.7112
245.999,5.6999
246.998,5.6892
247.999,5.6788
248.999,5.6691
249.999,5.6578
250.999,5.6466
251.999,5.6356
252.999,5.6256
253.999,5.6149
254.999,5.6053
255.998,5.5932
256.999,5.5833
257.999,5.5729
258.999,5.5627
259.999,5.5515
260.999,5.5406
261.999,5.5312
262.999,5.5217
263.999,5.5101
264.999,5.4999
265.999,5.4888
266.999,5.4788
267.998,5.4682
268.999,5.4585
269.999,5.447
270.999,5.4378
271.999,5.4263
272.999,5.4168
273.999,5.4071
274.999,5.3964
275.999,5.3863
276.999,5.3765
277.999,5.3652
278.999,5.3559
279.999,5.3463
280.999,5.3356
281.999,5.3256
282.998,5.3169
283.999,5.3056
284.998,5.2949
285.999,5.2858
286.999,5.2759
287.999,5.2669
288.999,5.2574
289.999,5.2474
290.999,5.2376
291.999,5.2281
292.999,5.2184
293.999,5.2093
294.999,5.199
295.999,5.1898
296.999,5.18
297.999,5.1714
298.999,5.1612
299.999,5.1523
300.999,5.1424
301.998,5.1338
302.999,5.1247
303.999,5.115
304.999,5.1058
305.999,5.0966
306.999,5.0875
307.999,5.078
308.999,5.0679
309.999,5.0584
310.999,5.0496
311.999,5.0401
312.999,5.0296
313.999,5.0218
314.999,5.0125
315.998,5.0019
316.999,4.9929
317.999,4.9834
318.999,4.9732
319.999,4.964
320.999,4.9557
321.999,4.9468
322.999,4.9365
323.999,4.9285
324.999,4.919
325.999,4.909
326.999,4.9001
327.999,4.8909
328.999,4.8816
329.999,4.8728
330.999,4.8637
331.999,4.8544
332.999,4.8453
333.999,4.8363
334.999,4.8267
335.999,4.8173
336.999,4.8088
337.999,4.7998
338.998,4.7908
339.999,4.7814
340.999,4.7718
341.999,4.7632
342.999,4.755
343.998,4.7461
344.999,4.7374
345.999,4.729
346.999,4.7193
347.999,4.7115
348.999,4.7032
349.999,4.6937
350.999,4.6855
351.999,4.6765
352.998,4.6685
353.999,4.6595
354.999,4.6506
355.999,4.6423
356.999,4.6332
357.999,4.6252
358.999,4.6167
359.998,4.6079
360.999,4.5988
361.999,4.5903
362.999,4.5819
363.999,4.5732
364.999,4.5644
365.999,4.5561
366.999,4.5472
367.999,4.5389
368.999,4.5315
